Gene_ID,Name,Annotation,OPID,RS_5,RS_30,RS_60,RS_90,RS_120,RS_150,RP_5,RP_30,RP_60,RP_90,RP_120,RP_150,TE_5,TE_30,TE_60,TE_90,TE_120,TE_150,tai_5,tai_30,tai_60,tai_90,tai_120,tai_150
CCNA_00001,NA,ATP/GTP-binding protein,1,116.614085,115.5614963,92.34930841,74.05618384,81.60057118,96.00327628,105.6747235,98.13813504,99.12947299,82.5957687,65.89726618,96.25876343,0.906191766,0.849228663,1.073418683,1.115312245,0.807558884,1.002661234,0.79153,0.79631,0.80475,0.79891,0.7793,0.79428
CCNA_00002,NA,septum formation protein Maf,1,83.06594075,88.50461561,63.35153073,56.89379147,63.73410707,79.85952626,59.62277151,61.92173717,64.32852443,48.311644,45.16115141,62.05701067,0.717776395,0.699644157,1.015421785,0.849154939,0.70858687,0.77707712,0.80588,0.81037,0.81915,0.81346,0.79419,0.80876
CCNA_00003,NA,shikimate 5-dehydrogenase,1,75.36323185,82.44182088,62.30284121,62.01684067,48.64192096,71.79621842,72.66538317,70.738048,79.92997419,58.15966099,45.49156247,62.7816696,0.964202057,0.858035973,1.282926631,0.937804318,0.935233674,0.874442568,0.8099,0.8142,0.82355,0.81788,0.79849,0.81301
CCNA_00004,NA,dephospho-CoA kinase,1,45.51113747,47.74835356,66.46462806,50.84213637,30.29193903,44.66272607,74.82241719,102.0507985,87.09053675,71.8574705,66.01815342,79.8154005,1.6440463,2.13726319,1.310329107,1.413344828,2.179396749,1.787069611,0.8106,0.81501,0.82433,0.81857,0.79899,0.81367
CCNA_00005,dnaQ,"DNA polymerase III, epsilon chain",1,52.7881335,109.0402487,150.3264837,112.5152661,80.56479881,108.0359404,46.22516566,138.5366671,200.554797,154.5040031,91.53567411,146.2124945,0.875673425,1.270509457,1.334128173,1.373182577,1.136174551,1.353369017,0.8295,0.83358,0.84119,0.83611,0.81897,0.83197
CCNA_00006,NA,enoyl-CoA hydratase,NA,242.0934248,299.9906429,289.7251728,212.3376235,215.8261018,266.4449005,318.7803281,372.6205852,363.4872818,223.5260558,244.369195,299.5832291,1.316765742,1.242107359,1.254593373,1.052691709,1.132250422,1.124372163,0.8396,0.84418,0.85566,0.84921,0.82738,0.84323
CCNA_00007,NA,SSU ribosomal protein S20P,NA,4620.708402,5770.633659,3605.405704,3711.528399,5362.439211,6222.184628,4371.202162,4341.370831,4258.522769,3810.49726,4501.496566,5153.636756,0.9460026,0.752321337,1.181149396,1.026665258,0.839449435,0.828268054,0.82383,0.82788,0.83551,0.83046,0.81332,0.82635
CCNA_00008,dnaA,chromosome replication initiator protein DnaA,NA,1261.871341,1164.336499,499.8218843,496.1423622,1066.433843,1027.821841,849.4249582,705.5309538,388.6388627,319.3019292,548.0503877,686.5074206,0.67314704,0.605951076,0.777554715,0.643569172,0.513909411,0.667924531,0.82189,0.82597,0.83741,0.8314,0.8105,0.82572
CCNA_00009,alkB,alkylated DNA repair protein AlkB,NA,21.62993879,20.93552546,NA,15.84584988,22.20471723,17.63105923,13.60596579,7.702665636,5.595338562,7.007920711,5.076927226,9.156868244,0.629033948,0.367923206,NA,0.442255907,0.228641832,0.519360075,0.78142,0.78615,0.7931,0.78767,0.76955,0.78372
CCNA_00010,dnaK,chaperone protein DnaK,6,1122.988787,860.2009131,640.4533074,585.2316762,474.6421292,631.6969551,2167.286504,1663.036969,931.7245155,923.3891692,1028.819741,1395.119994,1.929927109,1.933312257,1.454789139,1.577818165,2.16756937,2.208527336,0.84655,0.85079,0.86302,0.85665,0.83482,0.85048
CCNA_00011,dnaJ,chaperone protein DnaJ,6,335.998946,206.6550627,89.52856396,95.59626269,90.50762437,128.3386308,461.3015132,316.4367756,137.9868703,109.7817657,115.2255399,166.8727874,1.372925477,1.531231664,1.541260847,1.148389724,1.273103131,1.300253762,0.8306,0.83433,0.84259,0.83764,0.82058,0.83338
CCNA_00012,mutS,DNA mismatch repair protein MutS,7,30.53819497,76.03020457,71.69354562,51.67058659,41.79600274,65.29996188,14.42832374,62.07471714,79.4832239,45.11905788,25.39233867,56.34313309,0.472468126,0.816448114,1.108652435,0.873205838,0.607530314,0.86283562,0.84016,0.84432,0.85845,0.85169,0.82816,0.8448
CCNA_00013,NA,protein-PII uridylyltransferase,7,79.54500439,50.46921473,36.60054821,51.32172476,77.24736739,58.16438264,72.65370885,46.46168952,35.38062409,51.00615535,68.06250792,54.62597842,0.91336608,0.920594659,0.966669239,0.993851153,0.881098091,0.939165447,0.82831,0.83236,0.84308,0.83726,0.81714,0.83186
CCNA_00014,moaC,molybdenum cofactor biosynthesis protein C,8,91.6154875,84.58603139,57.3884927,71.70156309,65.19292969,86.9734372,84.87488089,65.15652354,53.97609304,48.79203821,40.02173537,47.44534512,0.926425031,0.77029886,0.940538608,0.68048779,0.613896868,0.545515351,0.82022,0.825,0.83545,0.8291,0.80774,0.82353
CCNA_00015,moaB,molybdenum cofactor biosynthesis protein B,8,147.8074469,155.7947428,140.114092,122.5083058,113.7828381,146.8600942,112.4317873,83.33601418,85.19508993,76.04452649,65.64470465,81.71713254,0.760663889,0.534909026,0.608040838,0.620729558,0.576929753,0.556428436,0.83369,0.83786,0.84699,0.84146,0.82268,0.83664
CCNA_00016,moaE,"molybdopterin converting factor, large subunit",8,46.26895689,38.44897776,23.48272294,30.93223257,24.23863526,25.62616237,28.25259975,16.91144051,14.59377663,13.18418891,11.4461632,16.73884514,0.610616743,0.439841096,0.621468672,0.426228171,0.472228039,0.653193596,0.81077,0.81495,0.8237,0.81827,0.7997,0.8137
CCNA_00017,moaD,"molybdopterin converting factor, small subunit",8,50.93826667,27.21180913,93.86336142,53.78435525,NA,23.4795301,46.73919765,32.2397549,19.13552542,18.17954327,13.17027146,23.75421888,0.91756553,1.184770728,0.203865759,0.338008017,NA,1.011699075,0.80562,0.80995,0.82256,0.81606,0.79342,0.80986
CCNA_00018,moaA,molybdenum cofactor biosynthesis protein A,8,114.8045727,100.3299065,42.4579139,46.04544073,78.74380226,82.14663435,54.74287993,41.25014769,28.30848556,23.71525041,20.92002936,35.31457159,0.476835361,0.411145083,0.666742262,0.515040144,0.265672075,0.429896756,0.83064,0.83455,0.84682,0.84073,0.81943,0.83475
CCNA_00019,NA,molybdopterin-guanine dinucleotide biosynthesis protein A,NA,18.09579994,24.00170788,NA,18.2805023,12.44019875,17.47954761,14.9331896,11.01191436,7.06470035,9.474422276,7.936266478,8.983003657,0.825229592,0.458797116,NA,0.518280194,0.637953351,0.513915111,0.76466,0.76918,0.77591,0.77072,0.75312,0.767
CCNA_00020,NA,hypothetical protein,10,419.553267,447.4249512,288.0046925,299.6115493,308.8143293,357.8252135,86.43027394,55.93298758,63.43848346,59.49701308,48.04912723,65.15062567,0.206005484,0.125010882,0.220268923,0.198580506,0.155592285,0.182073882,0.77063,0.77603,0.78308,0.77708,0.75744,0.77284
CCNA_00021,NA,"putative aerobic-type carbon monoxide dehydrogenase, large subunit CoxL",11,127.0118806,71.48146999,114.1135286,75.87788273,44.10020992,47.82255326,150.4482883,78.54421242,55.04174497,51.124761,44.0999823,44.03198564,1.184521382,1.098805221,0.482341977,0.673776852,0.999994838,0.92073682,0.84236,0.84644,0.85843,0.85226,0.83096,0.84627
CCNA_00022,NA,"putative aerobic-type carbon monoxide dehydrogenase, small subunit CoxS",11,152.5690547,140.4176471,107.9243448,86.7368247,115.3762575,107.8131859,167.3089311,179.7137757,116.5656146,83.11416656,79.09515053,93.24821399,1.09661118,1.279851781,1.080067845,0.958233909,0.685540962,0.864905468,0.81003,0.81459,0.822,0.81658,0.79854,0.8124
CCNA_00023,NA,putative periplasmic protein,12,150.4639279,255.6055631,261.3023985,208.4011919,193.9496583,236.1753763,142.1867607,202.5059492,234.5153836,144.1238718,123.0846683,169.5701143,0.944989027,0.792259553,0.897486533,0.691569326,0.634621733,0.717983885,0.82558,0.82922,0.83693,0.8322,0.81583,0.82822
CCNA_00024,NA,uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase,12,61.81909891,83.6102858,101.7104775,76.84176938,60.79759524,73.63652296,52.38175427,53.84264965,57.91691444,37.79643939,29.87019646,40.59087723,0.847339337,0.643971602,0.569429186,0.491873622,0.491305558,0.551232943,0.85511,0.85898,0.87329,0.86672,0.84369,0.85981
CCNA_00025,NA,major facilitator superfamily transporter,13,146.7311011,240.7657244,198.2406305,160.4928628,201.0386129,214.9417179,73.80128715,176.5508954,163.688768,120.2371254,121.3521204,128.3221594,0.502969627,0.733289158,0.825707463,0.749174283,0.603625933,0.59700909,0.846,0.85021,0.86235,0.85604,0.83436,0.84991
CCNA_00026,NA,PAS-family sensor histidine kinase,13,66.80625924,20.97816089,16.83329956,49.48508898,109.7270389,59.24838714,54.83401485,8.131914776,10.10622693,41.47043241,77.62023656,41.96513106,0.820791577,0.387637163,0.600371122,0.838038958,0.707393887,0.708291535,0.80776,0.81245,0.82209,0.81602,0.79552,0.81087
CCNA_00027,NA,2OG-Fe(II) oxygenase,14,19.7540211,16.82052862,42.8932283,56.76939335,51.27566703,95.30449335,30.58612106,15.66772501,70.57307419,80.78115807,70.60614944,198.150433,1.548349114,0.931464483,1.645319716,1.422970254,1.37699134,2.079130018,0.83791,0.84199,0.85267,0.84683,0.82679,0.8414
CCNA_00028,NA,TonB-dependent receptor,14,22.34294864,30.49928086,342.9561956,452.5201918,415.3491229,1071.064314,27.09284216,21.05944954,516.2785128,617.7225523,661.1005548,1717.126105,1.212590272,0.690490036,1.50537742,1.365071799,1.591674373,1.603196076,0.86196,0.86536,0.87361,0.86891,0.85277,0.86467
CCNA_00029,NA,lysine exporter protein,15,234.162501,239.9878796,162.7699116,150.4984605,308.7672977,236.3270652,28.96524355,37.21465453,51.22583414,35.67383165,25.05286283,45.64158906,0.123697191,0.155068892,0.314713166,0.237037851,8.11E-02,0.193128912,0.8504,0.85486,0.87036,0.863,0.8376,0.85537
CCNA_00030,NA,ribonuclease T2,15,46.8697618,48.60038103,27.80559198,28.16935717,48.12672081,50.25262548,41.08587678,33.08124743,33.93398468,30.34631902,24.13417657,36.40004604,0.876596663,0.680678767,1.220401447,1.077281204,0.501471452,0.72434118,0.82535,0.82974,0.84419,0.83717,0.81276,0.8301
CCNA_00031,vapC,toxin protein VapC,16,71.02011266,63.1143939,39.70248971,26.78642405,63.78603552,52.02713592,17.13570786,20.02665593,15.96684701,16.81900971,15.13847391,22.05047868,0.241279649,0.317307268,0.402162361,0.627893058,0.237332102,0.423826495,0.78418,0.78856,0.79692,0.79144,0.77265,0.78704
CCNA_00032,vapB,antitoxin protein VapB,16,112.085612,99.38825212,59.09354049,47.06097517,79.21828645,70.64059432,96.99904845,93.41222365,54.17684924,68.19525035,70.99962069,80.71120868,0.865401426,0.939871883,0.916798161,1.449082815,0.896252922,1.142561291,0.74361,0.74856,0.75109,0.74659,0.73207,0.74449
